Unnamed: 0,유입 인구,유출 인구,유입+유출 합계
강남구,10642252.48,13603387.57,24245640.05
송파구,9750348.01,9333787.69,19084135.7
서초구,7217515.99,8813672.82,16031188.81
영등포구,6376441.95,7604715.27,13981157.219999999
마포구,6884823.81,6698634.95,13583458.76
강서구,6295320.42,6010571.63,12305892.05
중구,4463216.37,7223735.33,11686951.7
